,pm10,pm25,so2,co,o3,no2,categori
419,0.20121951219512196,0.3478260869565218,0.30000000000000004,0.3414634146341463,0.17482517482517484,0.2580645161290323,1
420,0.22560975609756095,0.36645962732919257,0.3125,0.29268292682926833,0.16783216783216787,0.30645161290322587,1
421,0.21341463414634143,0.3850931677018633,0.21250000000000002,0.12195121951219512,0.16783216783216787,0.1774193548387097,1
422,0.2621951219512195,0.49689440993788814,0.21250000000000002,0.2682926829268293,0.13286713286713286,0.22580645161290325,1
423,0.25609756097560976,0.4347826086956521,0.22500000000000003,0.14634146341463414,0.21678321678321677,0.1774193548387097,1
424,0.3353658536585366,0.5403726708074535,0.22500000000000003,0.21951219512195122,0.16783216783216787,0.2096774193548387,1
425,0.25609756097560976,0.37267080745341613,0.21250000000000002,0.17073170731707318,0.23076923076923078,0.1935483870967742,1
426,0.2682926829268293,0.4658385093167702,0.21250000000000002,0.2682926829268293,0.13286713286713286,0.2580645161290323,1
427,0.25609756097560976,0.44099378881987583,0.21250000000000002,0.19512195121951223,0.1258741258741259,0.2096774193548387,1
428,0.2987804878048781,0.5652173913043479,0.1375,0.17073170731707318,0.18181818181818182,0.2096774193548387,0
429,0.2195121951219512,0.4161490683229814,0.1125,0.17073170731707318,0.16783216783216787,0.2096774193548387,1
430,0.1463414634146342,0.06211180124223603,0.09999999999999999,0.24390243902439027,0.1258741258741259,0.22580645161290325,2
431,0.0426829268292683,0.22360248447204972,0.4875,0.12195121951219512,0.06993006993006995,0.14516129032258068,2
432,0.13414634146341467,0.30434782608695654,0.5249999999999999,0.21951219512195122,0.06993006993006995,0.14516129032258068,1
433,0.1463414634146342,0.3354037267080746,0.49999999999999994,0.17073170731707318,0.09790209790209789,0.1774193548387097,1
434,0.2987804878048781,0.5590062111801243,0.5125,0.5853658536585367,0.1048951048951049,0.27419354838709675,0
435,0.22560975609756095,0.4161490683229814,0.5125,0.29268292682926833,0.1048951048951049,0.2096774193548387,1
436,0.09146341463414634,0.22981366459627328,0.5125,0.09756097560975613,0.04895104895104896,0.11290322580645165,2
437,0.0426829268292683,0.15527950310559002,0.49999999999999994,0.07317073170731708,0.05594405594405594,0.08064516129032259,2
438,0.0548780487804878,0.2608695652173913,0.575,0.14634146341463414,0.04195804195804195,0.11290322580645165,1
439,0.16463414634146342,0.31055900621118016,0.5125,0.14634146341463414,0.09090909090909091,0.16129032258064518,1
440,0.2804878048780488,0.4782608695652174,0.5125,0.3170731707317074,0.13286713286713286,0.2903225806451613,1
441,0.31097560975609756,0.5900621118012422,0.5624999999999999,0.3902439024390244,0.1888111888111888,0.33870967741935487,0
442,0.25609756097560976,0.49068322981366475,0.5125,0.3902439024390244,0.13286713286713286,0.22580645161290325,1
443,0.22560975609756095,0.40372670807453415,0.5249999999999999,0.2682926829268293,0.1608391608391609,0.27419354838709675,1
444,0.22560975609756095,0.40993788819875776,0.49999999999999994,0.2682926829268293,0.1608391608391609,0.1774193548387097,1
445,0.24390243902439024,0.45962732919254656,0.49999999999999994,0.6097560975609757,0.11888111888111891,0.3870967741935485,1
446,0.2804878048780488,0.4782608695652174,0.49999999999999994,0.36585365853658536,0.09090909090909091,0.27419354838709675,1
447,0.29268292682926833,0.596273291925466,0.5125,0.4390243902439025,0.13286713286713286,0.2580645161290323,0
448,0.25,0.4782608695652174,0.5374999999999999,0.19512195121951223,0.18181818181818182,0.22580645161290325,1
449,0.2987804878048781,0.5590062111801243,0.5125,0.3414634146341463,0.13286713286713286,0.22580645161290325,0
